id,term,AnyChange,StatedDefChange,InferredDefChange,Primitive2SD,SD2Primitive,DescriptionChange,FSNChange
138875005,SNOMED CT Concept (SNOMED RT+CTV3),15932,7140,13897,906,12,2450,604
105590001,Substance (substance),1312,1232,1232,1,0,101,31
243796009,Situation with explicit context (situation),605,430,525,2,0,87,11
254291000,Staging and scales (staging scale),22,15,15,0,0,7,6
260787004,Physical object (physical object),148,130,130,0,0,18,6
272379006,Event (event),8,7,8,0,0,0,0
308916002,Environment or geographical location (environment / location),3,3,3,0,0,0,0
419891008,Record artifact (record artifact),0,0,0,0,0,0,0
123037004,Body structure (body structure),216,182,182,0,0,35,6
123038009,Specimen (specimen),177,167,177,1,0,0,0
48176007,Social context (social concept),372,1,1,0,0,371,5
71388002,Procedure (procedure),2772,1383,2623,80,2,120,41
78621006,Physical force (physical force),0,0,0,0,0,0,0
362981000,Qualifier value (qualifier value),81,52,52,0,0,31,5
363787002,Observable entity (observable entity),48,45,45,0,0,3,0
370115009,Special concept (special concept),1,0,0,0,0,1,0
373873005,Pharmaceutical / biologic product (product),481,432,449,371,0,439,403
410607006,Organism (organism),335,142,142,0,0,193,6
404684003,Clinical finding (finding),9345,2914,8308,451,10,1043,84
900000000000441003,SNOMED CT Model Component (metadata),5,5,5,0,0,0,0
