id,term,PercOfAnyChange,PercOfStatedDefChange,PercOfInferredDefChange,PercOfPrimitive2SD,PercOfSD2Primitive,PercOfDescriptionChange,PercOfFSNChange
138875005,SNOMED CT Concept (SNOMED RT+CTV3),5.1,44.82,87.23,5.69,0.08,15.38,3.79
105590001,Substance (substance),0.42,93.9,93.9,0.08,0,7.7,2.36
243796009,Situation with explicit context (situation),0.19,71.07,86.78,0.33,0,14.38,1.82
254291000,Staging and scales (staging scale),0.01,68.18,68.18,0,0,31.82,27.27
260787004,Physical object (physical object),0.05,87.84,87.84,0,0,12.16,4.05
272379006,Event (event),0,87.5,100,0,0,0,0
308916002,Environment or geographical location (environment / location),0,100,100,0,0,0,0
419891008,Record artifact (record artifact),0,0,0,0,0,0,0
123037004,Body structure (body structure),0.07,84.26,84.26,0,0,16.2,2.78
123038009,Specimen (specimen),0.06,94.35,100,0.56,0,0,0
48176007,Social context (social concept),0.12,0.27,0.27,0,0,99.73,1.34
71388002,Procedure (procedure),0.89,49.89,94.62,2.89,0.07,4.33,1.48
78621006,Physical force (physical force),0,0,0,0,0,0,0
362981000,Qualifier value (qualifier value),0.03,64.2,64.2,0,0,38.27,6.17
363787002,Observable entity (observable entity),0.02,93.75,93.75,0,0,6.25,0
370115009,Special concept (special concept),0,0,0,0,0,100,0
373873005,Pharmaceutical / biologic product (product),0.15,89.81,93.35,77.13,0,91.27,83.78
410607006,Organism (organism),0.11,42.39,42.39,0,0,57.61,1.79
404684003,Clinical finding (finding),2.99,31.18,88.9,4.83,0.11,11.16,0.9
900000000000441003,SNOMED CT Model Component (metadata),0,100,100,0,0,0,0
