id,term,NewConcepts,PercentOfTotal,PercentOfAllNew,PercentOfNewSD,PercentOfNewP
138875005,SNOMED CT Concept (SNOMED RT+CTV3),4448,1.05,100,40.4,59.6
105590001,Substance (substance),1128,4.37,25.36,0.09,99.91
243796009,Situation with explicit context (situation),401,9.64,9.02,87.53,12.47
254291000,Staging and scales (staging scale),15,1.12,0.34,0,100
260787004,Physical object (physical object),127,0.88,2.86,0,100
272379006,Event (event),6,0.17,0.13,16.67,83.33
308916002,Environment or geographical location (environment / location),2,0.11,0.04,0,100
419891008,Record artifact (record artifact),0,0,0,0,0
123037004,Body structure (body structure),100,0.32,2.25,0,100
123038009,Specimen (specimen),164,10.13,3.69,42.68,57.32
48176007,Social context (social concept),1,0.02,0.02,0,100
71388002,Procedure (procedure),1109,2.01,24.93,58.97,41.03
78621006,Physical force (physical force),0,0,0,0,0
362981000,Qualifier value (qualifier value),31,0.33,0.7,0,100
363787002,Observable entity (observable entity),43,0.51,0.97,0,100
370115009,Special concept (special concept),0,0,0,0,0
373873005,Pharmaceutical / biologic product (product),18,0.11,0.4,11.11,88.89
410607006,Organism (organism),129,0.39,2.9,0,100
404684003,Clinical finding (finding),1169,1.13,26.28,61.42,38.58
900000000000441003,SNOMED CT Model Component (metadata),5,0.32,0.11,0,100
