id,term,RetiredConcepts,PercentOfTotal,PercentOfAllRetired,PercentOfAmbiguous,PercentOfDuplicated,PercentOfErroneous,PercentOfNotStated,PercentOfOutdated,PercentOfMoved,PercentOfLimited
138875005,SNOMED CT Concept (SNOMED RT+CTV3),399,0.09,100,28.57,21.8,18.05,1.25,20.05,10.28,0
105590001,Substance (substance),20,0.08,5.01,5,50,35,10,0,0,0
243796009,Situation with explicit context (situation),7,0.17,1.75,85.71,0,14.29,0,0,0,0
254291000,Staging and scales (staging scale),0,0,0,0,0,0,0,0,0,0
260787004,Physical object (physical object),12,0.08,3.01,8.33,91.67,0,0,0,0,0
272379006,Event (event),66,1.83,16.54,1.52,0,0,0,98.48,0,0
308916002,Environment or geographical location (environment / location),2,0.11,0.5,0,50,0,0,0,50,0
419891008,Record artifact (record artifact),1,0.45,0.25,0,0,0,0,0,100,0
123037004,Body structure (body structure),4,0.01,1,50,50,0,0,0,0,0
123038009,Specimen (specimen),0,0,0,0,0,0,0,0,0,0
48176007,Social context (social concept),0,0,0,0,0,0,0,0,0,0
71388002,Procedure (procedure),45,0.08,11.28,42.22,24.44,24.44,0,6.67,2.22,0
78621006,Physical force (physical force),0,0,0,0,0,0,0,0,0,0
362981000,Qualifier value (qualifier value),7,0.07,1.75,28.57,42.86,14.29,0,0,14.29,0
363787002,Observable entity (observable entity),6,0.07,1.5,83.33,0,0,0,0,16.67,0
370115009,Special concept (special concept),0,0,0,0,0,0,0,0,0,0
373873005,Pharmaceutical / biologic product (product),54,0.32,13.53,20.37,1.85,77.78,0,0,0,0
410607006,Organism (organism),7,0.02,1.75,28.57,57.14,14.29,0,0,0,0
404684003,Clinical finding (finding),167,0.16,41.85,38.32,26.35,4.79,1.8,7.19,21.56,0
900000000000441003,SNOMED CT Model Component (metadata),1,0.06,0.25,0,0,100,0,0,0,0
