Hierarchy,Id,Term,StatedDefChange,InferredDefChange,Primitive2SD,SD2Primitive,DescriptionChange,FSNChange
Body structure (body structure),1277008,Structure of vertebral nerve (body structure),0,1,0,0,0,0
Body structure (body structure),2920002,Structure of facial nerve motor branch (body structure),0,1,0,0,0,0
Body structure (body structure),3877006,Structure of common carotid plexus (body structure),0,1,0,0,0,0
Body structure (body structure),4524000,Structure of subclavian plexus (body structure),0,1,0,0,0,0
Body structure (body structure),4857006,Sequestrum (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),8161005,Structure of infraorbital nerve (body structure),0,1,0,0,0,0
Body structure (body structure),8454000,Lumbar spine joint structure (body structure),1,1,0,0,0,0
Body structure (body structure),8598002,Vestibulocochlear nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),9001003,Chondroblastoma (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),9294008,Spermatocytic seminoma (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),10141003,Structure of zygomatic nerve (body structure),0,1,0,0,0,0
Body structure (body structure),10145007,Structure of vagus nerve pharyngeal plexus (body structure),0,1,0,0,0,0
Body structure (body structure),11469007,Structure of ganglion impar (body structure),0,1,0,0,0,0
Body structure (body structure),14085007,Joint structure of coccygeal vertebra (body structure),1,1,0,0,0,0
Body structure (body structure),15094007,Structure of internal carotid nerve (body structure),0,1,0,0,0,0
Body structure (body structure),15731009,Structure of inferior cardiac nerve (body structure),0,1,0,0,0,0
Body structure (body structure),17700003,Structure of oculomotor nerve rectus inferior branch (body structure),0,1,0,0,0,0
Body structure (body structure),17912006,Structure of jugular nerve (body structure),0,1,0,0,0,0
Body structure (body structure),18591008,Structure of middle cervical ganglion (body structure),0,1,0,0,0,0
Body structure (body structure),18854008,Struma ovarii, malignant (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),20955008,Insulinoma, malignant (morphologic abnormality),1,1,1,0,0,0
Body structure (body structure),21040006,Depressor anguli oris muscle structure (body structure),1,1,0,0,0,0
Body structure (body structure),21161002,Glossopharyngeal nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),21874006,Structure of supraorbital nerve (body structure),0,1,0,0,0,0
Body structure (body structure),22286001,External carotid artery structure (body structure),1,1,0,0,0,0
Body structure (body structure),22291000,Structure of distal epiphysis of radius (body structure),1,0,0,0,0,0
Body structure (body structure),24327009,Struma ovarii (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),24639009,Structure of lumbar ganglia (body structure),0,1,0,0,0,0
Body structure (body structure),24811005,Serous inflammation (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),25903009,Entire skeletal muscle of face (body structure),1,1,0,0,0,0
Body structure (body structure),26844002,Structure of sacral ganglia (body structure),0,1,0,0,0,0
Body structure (body structure),26907003,Structure of oculomotor nerve obliquus inferior branch (body structure),0,1,0,0,0,0
Body structure (body structure),27022003,Structure of vagus nerve cardiac thoracic branch (body structure),0,1,0,0,0,0
Body structure (body structure),27612005,Trigeminal nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),28047004,Embryonal carcinoma (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),28074003,Structure of trigeminal nerve spinal tract (body structure),0,1,0,0,0,0
Body structure (body structure),28325008,Polyembryoma (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),30379009,Structure of oculomotor nerve levator palpebrae branch (body structure),0,1,0,0,0,0
Body structure (body structure),30608006,Skeletal muscle structure of upper limb (body structure),1,1,0,0,0,0
Body structure (body structure),31266009,Structure of superior glossopharyngeal ganglion (body structure),0,1,0,0,0,0
Body structure (body structure),32844007,Mixed germ cell tumor (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),33333000,Structure of greater superficial petrosal nerve (body structure),0,1,0,0,0,0
Body structure (body structure),33767007,Structure of branch of sympathetic renal plexus (body structure),0,1,0,0,0,0
Body structure (body structure),33961002,Structure of stellate ganglion (body structure),0,1,0,0,0,0
Body structure (body structure),34292001,Structure of vagus nerve auricular branch (body structure),0,1,0,0,0,0
Body structure (body structure),34402009,Rectum structure (body structure),0,0,0,0,1,0
Body structure (body structure),34467001,Structure of nasociliary nerve (body structure),0,1,0,0,0,0
Body structure (body structure),35155003,Structure of oculomotor nerve rectus superior branch (body structure),0,1,0,0,0,0
Body structure (body structure),35278002,Structure of pelvic splanchnic nerve (body structure),0,1,0,0,0,0
Body structure (body structure),35761005,Structure of spiral ganglion (body structure),0,1,0,0,0,0
Body structure (body structure),36195005,Nodular hyperplasia (morphologic abnormality),0,0,0,0,1,0
Body structure (body structure),36615005,Structure of trigeminal ganglion (body structure),0,1,0,0,0,0
Body structure (body structure),37144002,Structure of tympanic nerve (body structure),0,1,0,0,0,0
Body structure (body structure),37899009,Hypoglossal nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),38259003,Structure of extensor pollicis brevis muscle (body structure),1,1,0,0,0,0
Body structure (body structure),39322007,Trochlear nerve structure (body structure),1,1,0,0,0,0
Body structure (body structure),41077007,Structure of lumbar splanchnic nerve (body structure),0,1,0,0,0,0
Body structure (body structure),42717009,Teratoma, benign (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),44769000,Choriocarcinoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality),1,1,0,0,0,0
Body structure (body structure),46563004,Structure of mucous membrane of anal canal (body structure),1,1,0,0,0,0
Body structure (body structure),48288000,Structure of spinal nerve branch of cervical sympathetic nervous system (body structure),0,1,0,0,0,0
Body structure (body structure),49639004,Structure of sympathetic plexus of vas deferens (body structure),0,1,0,0,0,0
Body structure (body structure),49741006,Structure of ciliary ganglion (body structure),0,1,0,0,0,0
Body structure (body structure),50600006,Structure of spinal nerve branch of lumbar sympathetic nervous system (body structure),0,1,0,0,0,0
Body structure (body structure),52255005,Structure of superior cardiac nerve (body structure),0,1,0,0,0,0
