semtag,id,term,DefStatus
disorder,100211000119106,Muscle spasm of thoracic back (disorder),Sufficiently defined
disorder,101301000119106,Acute hypercapnic respiratory failure due to obstructive sleep apnea (disorder),Sufficiently defined
disorder,101401000119103,Pulmonary granuloma (disorder),Sufficiently defined
finding,101551000119103,Mass of skin of back (finding),Sufficiently defined
disorder,102361000119104,Chronic pneumonia (disorder),Sufficiently defined
disorder,102451000119107,Complete atrioventricular block as complication of atrioventricular nodal ablation (disorder),Sufficiently defined
disorder,103001000119108,Lesion of skin of foot (disorder),Sufficiently defined
disorder,103871000119109,Restrictive lung disease due to Parkinson disease (disorder),Sufficiently defined
disorder,103931000119102,Hepatic coma due to hepatitis (disorder),Sufficiently defined
disorder,104231000119108,Acute ulcer of skin (disorder),Sufficiently defined
disorder,104471000119105,Charcot arthropathy due to syphilis (disorder),Sufficiently defined
disorder,105191000119100,Acquired central alveolar hypoventilation (disorder),Primitive
disorder,105901000119108,Pleural effusion due to bacterial infection (disorder),Sufficiently defined
finding,105971000119103,Mass of subcutaneous tissue of back (finding),Sufficiently defined
disorder,106001000119101,Chronic obstructive lung disease co-occurrent with acute bronchitis (disorder),Sufficiently defined
situation,10624401000119102,Family history of stroke due to aneurysm (situation),Sufficiently defined
situation,10624451000119103,Family history of aneurysm of blood vessel of brain (situation),Primitive
situation,10624491000119108,History of infection due to vancomycin resistant enterococcus (situation),Sufficiently defined
disorder,10624871000119109,Congenital skin contracture (disorder),Sufficiently defined
disorder,10624911000119107,Otitis media due to H1N1 influenza (disorder),Sufficiently defined
disorder,10624951000119108,Otitis media due to influenza (disorder),Sufficiently defined
disorder,10624991000119103,Bronchopneumonia due to Achromobacter (disorder),Sufficiently defined
disorder,10625031000119102,Bronchopneumonia due to anaerobic bacteria (disorder),Sufficiently defined
disorder,10625071000119104,Bronchopneumonia due to bacteria (disorder),Sufficiently defined
disorder,10625111000119106,Bronchopneumonia due to Escherichia coli (disorder),Sufficiently defined
disorder,10625151000119107,Bronchopneumonia due to Group A Streptococcus (disorder),Sufficiently defined
disorder,10625191000119102,Bronchopneumonia due to Group B Streptococcus (disorder),Sufficiently defined
disorder,10625231000119106,Bronchopneumonia due to Haemophilus influenzae (disorder),Sufficiently defined
disorder,10625271000119109,Bronchopneumonia due to Human metapneumovirus (disorder),Sufficiently defined
disorder,10625311000119109,Bronchopneumonia due to Klebsiella pneumoniae (disorder),Sufficiently defined
disorder,10625351000119105,Bronchopneumonia due to methicillin resistant Staphylococcus aureus (disorder),Sufficiently defined
disorder,10625391000119100,Bronchopneumonia due to methicillin susceptible Staphylococcus aureus (disorder),Sufficiently defined
disorder,10625431000119105,Bronchopneumonia due to Mycoplasma pneumoniae (disorder),Sufficiently defined
