semtag,id,term,reason
disorder,569002,Infection by Stephanofilaria assamensis (disorder),Moved else where
disorder,3080008,Mycoplasma meleagridis infection (disorder),Moved else where
disorder,3226008,Contact dermatitis due to non-medicinal chemical (disorder),Erroneous
disorder,3803006,Congenital fissure of tongue (disorder),Dulicated
substance,9358006,Diphtheria toxin skin test (substance),Erroneous
organism,10459009,Oerskovia turbata (organism),Dulicated
disorder,18657003,Infection by Neostrongylus (disorder),Moved else where
disorder,20311006,Burn erythema of multiple sites of trunk (disorder),Dulicated
disorder,20530007,Infection by Stephanofilaria kaeli (disorder),Moved else where
disorder,22959007,Cardiac arrest AND/OR heart failure following molar AND/OR ectopic pregnancy (disorder),Ambiguous
procedure,23902001,Epiphysiodesis of ulna (procedure),Dulicated
disorder,25258002,Coalition of calcaneus (disorder),Ambiguous
procedure,25298000,Apprehension test (procedure),Ambiguous
disorder,26383008,Lobular dissecting hepatitis (disorder),Moved else where
disorder,27534001,Infection by Onchocerca armillata (disorder),Moved else where
physical object,28910002,Bone staple driver device (physical object),Dulicated
procedure,33298005,Equalization of leg lengthening or shortening by bone fusion (procedure),Ambiguous
procedure,33572000,Administration of prophylactic medication (procedure),Dulicated
procedure,35981003,Dental endosseous implant (procedure),Erroneous
finding,36344001,Ageusic aphasia (finding),Outdated
morphologic abnormality,36425007,Comedocarcinoma (morphologic abnormality),Dulicated
finding,38090009,Licking (finding),Ambiguous
physical object,40432008,Biofeedback system device (physical object),Dulicated
disorder,40674007,Congenital absence of forearm with hand AND fingers (disorder),Ambiguous
procedure,41434004,Dorsal spinal fusion (procedure),Ambiguous
finding,47268002,Reflux (finding),Ambiguous
finding,48873002,Secondary disease (finding),Reason not stated
physical object,49338004,Walker device (physical object),Dulicated
finding,50042007,Lichtheim's aphasia (finding),Ambiguous
disorder,50657001,Temporomandibular luxation (disorder),Dulicated
disorder,51003001,Vestibular active Ménière's disease (disorder),Dulicated
finding,53366009,Aphrasia (finding),Outdated
disorder,53719008,Infection by Onchocerca gutturosa (disorder),Moved else where
finding,56416009,Primary disease (finding),Reason not stated
disorder,57735000,Red squill poisoning (disorder),Ambiguous
finding,58172004,Kussmaul's aphasia (finding),Ambiguous
procedure,61342007,Patient follow-up planned and scheduled (procedure),Erroneous
disorder,64962005,Infection by Stephanofilaria deodesi (disorder),Moved else where
organism,65990003,Campylobacter-like organism (organism),Ambiguous
procedure,66744009,Dental restorative procedure (procedure),Ambiguous
disorder,67509002,Infection by Strongylus equinus (disorder),Moved else where
disorder,72643006,Tuberculous chancriform pyoderma (disorder),Outdated
disorder,72730002,Disease due to Pestivirus (disorder),Moved else where
disorder,73374009,Myositis ossificans circumscripta (disorder),Dulicated
disorder,76477008,Incomplete congenital absence of arm AND forearm (disorder),Ambiguous
disorder,83295007,Infection by Onchocerca cervicalis (disorder),Moved else where
body structure,84349008,Epiphyseal plate (body structure),Ambiguous
disorder,85027003,Infectious hemopoietic necrosis (disorder),Moved else where
disorder,85762002,Voice disorder due to transsexualism (disorder),Outdated
disorder,86677005,Infection by Stephanofilaria (disorder),Moved else where
finding,88130009,Grashey's aphasia (finding),Outdated
disorder,88907002,Infection by Strongylus vulgaris (disorder),Moved else where
physical object,90052001,Enema tip device (physical object),Dulicated
disorder,91332000,Infection by Strongylus edentatus (disorder),Moved else where
disorder,95419000,Acute muscle stiffness of neck (disorder),Ambiguous
disorder,95534009,Jejunal hemorrhage (disorder),Dulicated
disorder,95572004,Renal carbuncle (disorder),Outdated
substance,96057000,Cefamezin (substance),Dulicated
procedure,105103004,Cefamezin measurement (procedure),Dulicated
substance,108741000,Skin test antigens multiple (substance),Ambiguous
finding,110301002,Dental galvanism (finding),Ambiguous
disorder,111181004,Furuncle of skin AND/OR subcutaneous tissue (disorder),Reason not stated
disorder,111269008,Saddle nose (disorder),Ambiguous
disorder,111370006,Cirrhosis of liver not due to alcohol (disorder),Dulicated
disorder,111838000,Cold water disease (disorder),Moved else where
organism,113382005,Acinetobacter genospecies 13 (organism),Dulicated
organism,113426009,Anaerobiospirillium thomasii (organism),Dulicated
substance,115339007,2-Aminoadipate (substance),Dulicated
substance,115377001,Acetoacetate (substance),Dulicated
disorder,124627000,Deficiency of O-acetylserine (thiol)-lyase (disorder),Erroneous
morphologic abnormality,128176002,Cutaneous patch (morphologic abnormality),Ambiguous
regime/therapy,128574009,Hemodynamic measurement via pulmonary capillary wedge method (regime/therapy),Dulicated
qualifier value,129429009,Prophylactic treatment - procedure intent (qualifier value),Dulicated
organism,132425008,Dingo dog breed (organism),Erroneous
situation,161684005,History of artificial opening (situation),Ambiguous
situation,161688008,History of urinary tract opening (situation),Ambiguous
finding,169850006,Baby very premature 32 to 36 weeks (finding),Erroneous
finding,169851005,Baby extremely premature 28-32 weeks (finding),Erroneous
finding,170553009,Next hospital appointment (finding),Ambiguous
regime/therapy,170649002,Steroid dose inhaled daily (regime/therapy),Ambiguous
regime/therapy,170651003,Oral steroids used since last appointment (regime/therapy),Ambiguous
regime/therapy,170653000,Nebulization since last appointment (regime/therapy),Ambiguous
finding,170749009,Frequency of hypoglycemia attacks (finding),Ambiguous
regime/therapy,170952007,Menopause: luteinizing hormone follicle stimulating hormone checked (regime/therapy),Ambiguous
procedure,171073000,Travel vaccination given (procedure),Erroneous
procedure,172476001,Iris inclusion operation (procedure),Outdated
body structure,182075002,Posterior malleolus (body structure),Dulicated
procedure,184350007,Larrey operation (procedure),Ambiguous
record artifact,184811000,National Health Service employee report - no examination (record artifact),Moved else where
finding,185662006,Adult ABNORMAL - deleted (finding),Ambiguous
finding,185682005,Chr dis monitor - deleted (finding),Ambiguous
disorder,186841000,Congenital syphilitic gumma (disorder),Dulicated
disorder,191162004,Vitamin E deficiency anemia (disorder),Dulicated
disorder,191219006,Infective hemolytic anemia (disorder),Dulicated
disorder,194798004,Acute anteroapical infarction (disorder),Dulicated
disorder,197304003,Cardituberculous cirrhosis (disorder),Outdated
procedure,199685004,Ultrasonography for antepartum monitoring of fetus (procedure),Ambiguous
disorder,200015003,Third-stage postpartum hemorrhage - delivered with postnatal problem (disorder),Ambiguous
disorder,200016002,Third-stage postpartum hemorrhage with postnatal problem (disorder),Ambiguous
disorder,200026009,Secondary postpartum hemorrhage with postnatal problem (disorder),Ambiguous
disorder,200627004,Multiple boils (disorder),Ambiguous
disorder,203484004,Osteonecrosis due to previous trauma (disorder),Ambiguous
disorder,204176000,Congenital folds of the posterior segment (disorder),Dulicated
disorder,204656005,Imperforate esophagus (disorder),Dulicated
disorder,204960005,Medullary cystic disease otherwise specified (disorder),Ambiguous
disorder,205159008,Transverse deficiency of arm forearm level (disorder),Dulicated
disorder,205160003,Transverse deficiency of arm shoulder level (disorder),Dulicated
disorder,205302003,Acrosyndactyly of upper limb (disorder),Ambiguous
disorder,205360008,Talocalcaneal bar (disorder),Dulicated
disorder,205374001,Congenital undergrowth of lower limb (disorder),Dulicated
disorder,205383006,Constriction ring of lower limb (disorder),Dulicated
disorder,205488003,Chondrodysplasia otherwise specified (disorder),Ambiguous
disorder,205688005,Turner's phenotype mosaicism 45 X; 46 XX or 45 X; 46 XY (disorder),Ambiguous
disorder,205689002,Mosaicism 45 X / other cell line with abnormal sex chromosome (disorder),Ambiguous
procedure,206261004,Endotoxin test chemical (procedure),Ambiguous
disorder,208210001,Fracture of ill-defined bones of trunk (disorder),Ambiguous
disorder,208211002,Closed fracture of ill-defined bone of trunk (disorder),Ambiguous
disorder,208212009,Open fracture of ill-defined bone of trunk (disorder),Ambiguous
disorder,208534007,Open fracture proximal femur transcervical (disorder),Dulicated
disorder,212330000,Injury of nerves at lower leg level (disorder),Dulicated
disorder,212845001,Antimony causing toxic effect (disorder),Ambiguous
disorder,213312000,Infection after injection infusion transfusion and vaccination (disorder),Ambiguous
event,213868002,Derailment due to train problem without antecedent collision railway employee injured (event),Outdated
event,213891003,Train accident involving fire passenger injured (event),Outdated
event,214083003,Motor vehicle traffic accident involving collision with another motor vehicle parked motor cyclist injured (event),Outdated
event,214087002,Motor vehicle traffic accident involving collision with another motor vehicle parked rider of animal or occupant of animal-drawn vehicle injured (event),Outdated
event,214093005,Motor vehicle traffic accident involving collision with another motor vehicle stopped driver of motor vehicle injured (event),Outdated
event,214094004,Motor vehicle traffic accident involving collision with another motor vehicle stopped passenger of motor vehicle injured (event),Outdated
event,214105006,Motor vehicle traffic accident involving collision with another motor vehicle stalled driver of motor vehicle injured (event),Outdated
event,214117008,Motor vehicle traffic accident involving collision with another motor vehicle disabled passenger of motor vehicle injured (event),Outdated
event,214122008,Motor vehicle traffic accident involving collision with another motor vehicle disabled pedal cyclist injured (event),Outdated
event,214130009,Motor vehicle traffic accident involving collision with another motor vehicle abandoned on highway passenger on motor cycle injured (event),Outdated
event,214152000,Motor vehicle traffic accident involving collision between motor vehicle and animal carrying a person motor cyclist injured (event),Outdated
event,214153005,Motor vehicle traffic accident involving collision between motor vehicle and animal carrying a person passenger on motor cycle injured (event),Outdated
event,214157006,Motor vehicle traffic accident involving collision between motor vehicle and animal carrying a person pedestrian injured (event),Outdated
event,214167001,Motor vehicle traffic accident involving collision between motor vehicle and animal-drawn vehicle pedal cyclist injured (event),Outdated
event,214178009,Motor vehicle traffic accident involving collision between motor vehicle and pedal cycle rider of animal or occupant of animal-drawn vehicle injured (event),Outdated
event,214187000,Motor vehicle traffic accident involving collision between motor vehicle and tramcar passenger on motor cycle injured (event),Outdated
event,214214005,Motor vehicle traffic accident involving pedestrian dragged by motor vehicle pedal cyclist injured (event),Outdated
event,214238009,Motor vehicle traffic accident involving pedestrian run over by motor vehicle pedestrian injured (event),Outdated
event,214261006,Motor vehicle traffic accident involving collision on highway between motor vehicle and bridge pedestrian injured (event),Outdated
event,214302004,Motor vehicle traffic accident involving collision on highway between motor vehicle and boundary fence or guard rail motor cyclist injured (event),Outdated
event,214351001,Motor vehicle traffic accident due to motor vehicle failing to make curve without collision on the highway rider of animal or occupant of animal-drawn vehicle injured (event),Outdated
event,214375001,Motor vehicle traffic accident due to motor vehicle going out of control due to burst tire without collision on the highway pedestrian injured (event),Outdated
event,214382002,Motor vehicle traffic accident due to motor vehicle going out of control due to driver falling asleep without collision on the highway passenger on motor cycle injured (event),Outdated
event,214383007,Motor vehicle traffic accident due to motor vehicle going out of control due to driver falling asleep without collision on the highway occupant of tram injured (event),Outdated
event,214463007,Noncollision motor vehicle traffic accident involving injury by moving part of the vehicle while boarding or alighting occupant of tram injured (event),Outdated
event,214470007,Noncollision motor vehicle traffic accident involving being trapped by door of motor bus while boarding or alighting driver of motor vehicle injured (event),Outdated
event,214519001,Noncollision motor vehicle traffic accident involving breakage of any part of motor vehicle while in motion passenger on motor cycle injured (event),Outdated
event,214522004,Noncollision motor vehicle traffic accident involving breakage of any part of motor vehicle while in motion pedal cyclist injured (event),Outdated
event,214554008,Noncollision motor vehicle traffic accident involving jump from motor vehicle while in motion rider of animal or occupant of animal-drawn vehicle injured (event),Outdated
event,214567006,Noncollision motor vehicle traffic accident involving being accidentally pushed from motor vehicle while in motion pedestrian injured (event),Outdated
event,214583006,Noncollision motor vehicle traffic accident involving being hit by object thrown into or on motor vehicle while in motion passenger of motor vehicle injured (event),Outdated
event,214612003,Noncollision motor vehicle traffic accident involving object falling in or on motor vehicle while in motion pedal cyclist injured (event),Outdated
event,214655004,Nontraffic accident involving fall from motor-driven snow vehicle passenger of motor vehicle injured (event),Outdated
event,214677000,Nontraffic accident involving overturning of motor-driven snow vehicle driver of motor vehicle injured (event),Outdated
event,214679002,Nontraffic accident involving overturning of motor-driven snow vehicle motor cyclist injured (event),Outdated
event,214684008,Nontraffic accident involving overturning of motor-driven snow vehicle pedestrian injured (event),Outdated
event,214700009,Nontraffic accident involving collision of motor-driven snow vehicle not on public highway passenger of motor vehicle injured (event),Outdated
event,214701008,Nontraffic accident involving collision of motor-driven snow vehicle not on public highway motor cyclist injured (event),Outdated
event,214706003,Nontraffic accident involving collision of motor-driven snow vehicle not on public highway pedestrian injured (event),Outdated
event,214723007,Nontraffic accident involving breakage of part of off-road motor vehicle except snow vehicle driver of motor vehicle injured (event),Outdated
event,214739000,Nontraffic accident involving fall from off-road motor vehicle except snow vehicle rider of animal or occupant of animal-drawn vehicle injured (event),Outdated
event,214785002,Nontraffic accident involving being thrown against some part of or object in off-road motor vehicle except snow vehicle pedestrian injured (event),Outdated
event,214789008,Nontraffic accident involving collision between off-road motor vehicle except snow vehicle and animal being ridden or animal-drawn vehicle driver of motor vehicle injured (event),Outdated
event,214932000,Nontraffic accident involving injury from moving part of motor vehicle while boarding or alighting from motor vehicle except off-road vehicle not on highway pedal cyclist injured (event),Outdated
event,214973004,Nontraffic accident involving breakage of part of motor vehicle except off-road motor vehicle while in motion not on public highway motor cyclist injured (event),Outdated
event,214976007,Nontraffic accident involving breakage of part of motor vehicle except off-road motor vehicle while in motion not on public highway rider of animal or occupant of animal-drawn vehicle injured (event),Outdated
